
//Ranking Board
//morocc2,173,86,4	duplicate(ExchageDig)	แลกของขุด	848

//Al De Baran
//morocc2,155,144,4	duplicate(Neuschwanstein2)	Neuschwanstein#am1	722
//homes1,39,63,4	duplicate(Neuschwanstein2)	Neuschwanstein#a1-6	722
c5,208,108,5	duplicate(waraldeg)	Item War#1	1395
//homeb2,27,64,4	duplicate(BrightArbor2)	BrightArbor#home2	722
//homeb3,27,64,4	duplicate(BrightArbor2)	BrightArbor#home3	722
//homeb4,27,64,4	duplicate(BrightArbor2)	BrightArbor#home4	722
//homeb5,27,64,4	duplicate(BrightArbor2)	BrightArbor#home5	722
//homeb6,27,64,4	duplicate(BrightArbor2)	BrightArbor#home6	722
//homeb7,27,64,4	duplicate(BrightArbor2)	BrightArbor#home7	722
//homeb8,27,64,4	duplicate(BrightArbor2)	BrightArbor#home8	722
//homeb9,27,64,4	duplicate(BrightArbor2)	BrightArbor#home9	722
//homeb10,27,64,4	duplicate(BrightArbor2)	BrightArbor#home10	722

//homeb1,30,64,4	duplicate(Kriemhild2)	Kriemhild#home1	722
//homeb2,30,64,4	duplicate(Kriemhild2)	Kriemhild#home2	722
//homeb3,30,64,4	duplicate(Kriemhild2)	Kriemhild#home3	722
//homeb4,30,64,4	duplicate(Kriemhild2)	Kriemhild#home4	722
//homeb5,30,64,4	duplicate(Kriemhild2)	Kriemhild#home5	722
//homeb6,30,64,4	duplicate(Kriemhild2)	Kriemhild#home6	722
//homeb7,30,64,4	duplicate(Kriemhild2)	Kriemhild#home7	722
//homeb8,30,64,4	duplicate(Kriemhild2)	Kriemhild#home8	722
//homeb9,30,64,4	duplicate(Kriemhild2)	Kriemhild#home9	722
//homeb10,30,64,4	duplicate(Kriemhild2)	Kriemhild#home10	722

//---------------------------------------------------------------------------------------------------------------------------------------------------

god_town,170,85,5	duplicate(rankingbbs)	Ranking Board#rk1	120

duel_core,52,32,4	duplicate(infoserv)	Server Information#ifs1	837
//morocc2,166,114,4	duplicate(changejob)	Job Master#changejob1	811
//morocc2,170,117,4	duplicate(jobbaby)	Job BaBy#asee1	944
//c5,181,92,5	duplicate(npcsupport)	Support Player#supx1	864
//morocc2,155,122,6	duplicate(bugreq)	SmS TO GM#supx1	763
c5,174,99,4	duplicate(Dig_Shop)	แลกของขุด::1	848
c5,181,92,5	duplicate(design5)	Stylist#design1	481
//god_town,141,155,4	duplicate(testemp)	ห้องทดสอบหิน#zcha26	484
c5,180,133,5	duplicate(makeguild)	สร้าง Guild#mguild1	752

//---------------------------------------------------------------------------------------------------------------------------------------------------

c5,190,75,5	duplicate(goendless1)	Endless Tower#endless1	454
c5,187,69,5	duplicate(e-devil)	Devil Square#01	856
c5,184,69,5	duplicate(findpor)	Find Poring#findpor1	793
//god_town,125,55,4	duplicate(plantball)	Plant Ball#plantball1	764
c5,199,75,5	duplicate(boxboom)	Box BOoM#osos1	801
c5,202,75,5	duplicate(bomelucky)	Bomb Lucky	647
quiz_02,337,82,4	duplicate(bomeluc6464)	พ่อมดกิจกรรม	788

c5,203,94,4	duplicate(porcommado)	Poring Commado#porcmd1	809
//morocc2,142,156,6	duplicate(npcangelbox)	Angel Box Room#ang1	624
c5,199,69,4	duplicate(gnp)	Fighting Boss#gnp1	843
c5,202,69,4	duplicate(deaddevil)	Dead Devil 8#ddevil1	821
//morocc2,142,148,6	duplicate(npcboss30)	Room Boss#bosss1	627

//---------------------------------------------------------------------------------------------------------------------------------------------------

c5,154,82,5	duplicate(de3rd)	คนขายอุปกรณ์ 3rd#asd	769

//god_town,57,118,5	duplicate(shk)	Poring Shop#expxh1	664
-	shop	SP_SEL_1	-1,501:-1

//---------------------------------------------------------------------------------------------------------------------------------------------------

//god_town,146,126,5	duplicate(iden2634)	ตรวจสอบ Item ทั้งหมด#1	755
//homes10,42,46,4	duplicate(downrefine)	Special Refine#1	56
//god_town,115,77,4	duplicate(marketann)	Market Announcer#1	904
//homes10,39,46,6	duplicate(wealv4)	Weapon LV4#ps1	734
c5,139,78,4	duplicate(upgred)	อัพเกรดไอเทม#ps2	733
//homes10,39,41,6	duplicate(SlotShop)	Slot Shop#01	774

//---------------------------------------------------------------------------------------------------------------------------------------------------

//god_town,173,133,4	duplicate(QuestShop)	Quest Shop#01	940
//god_town,141,78,4	duplicate(QuestShopFas)	Quest New Hat#01	946

//---------------------------------------------------------------------------------------------------------------------------------------------------

morocc2,155,101,4	script	Kafra Express::01	76,{ callfunc "KafraXX","morocc2",159,92; close2;	cutin "",255;	end; }
morocc2,157,101,4	shop	Shop Express#01	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
morocc2,159,101,4	duplicate(wapp)	Warp Express#01	478
morocc2,161,101,4	duplicate(exheal)	Heal Express#01	834
morocc2,163,101,4	duplicate(warpevent)	GvG & PvP Express#01	483

//---------------------------------------------------------------------------------------------------------------------------------------------------

prontera,150,184,4	script	Kafra Express::02	76,{ callfunc "KafraXX","prontera",156,179; close2;	cutin "",255;	end; }
prontera,153,184,4	shop	Shop Express#02	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
prontera,156,184,4	duplicate(wapp)	Warp Express#02	478
prontera,159,184,4	duplicate(exheal)	Heal Express#02	834
prontera,162,184,4	duplicate(warpevent)	GvG & PvP Express#02	483

//---------------------------------------------------------------------------------------------------------------------------------------------------

moscovia,219,195,4	script	Kafra Express::03	76,{ callfunc "KafraXX","moscovia",223,190; close2;	cutin "",255;	end; }
moscovia,221,195,4	shop	Shop Express#03	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
moscovia,223,195,4	duplicate(wapp)	Warp Express#03	478
moscovia,225,195,4	duplicate(exheal)	Heal Express#03	834
moscovia,227,195,4	duplicate(warpevent)	GvG & PvP Express#03	483

//---------------------------------------------------------------------------------------------------------------------------------------------------

alberta,178,138,4	script	Kafra Express::04	76,{ callfunc "KafraXX","alberta",184,134; close2;	cutin "",255;	end; }
alberta,181,138,4	shop	Shop Express#04	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
alberta,184,138,4	duplicate(wapp)	Warp Express#04	478
alberta,187,138,4	duplicate(exheal)	Heal Express#04	834
alberta,190,138,4	duplicate(warpevent)	GvG & PvP Express#04	483

//---------------------------------------------------------------------------------------------------------------------------------------------------

aldebaran,136,119,4	script	Kafra Express::05	76,{ callfunc "KafraXX","aldebaran",140,115; close2;	cutin "",255;	end; }
aldebaran,138,119,4	shop	Shop Express#05	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
aldebaran,140,119,4	duplicate(wapp)	Warp Express#05	478
aldebaran,142,119,4	duplicate(exheal)	Heal Express#05	834
aldebaran,144,119,4	duplicate(warpevent)	GvG & PvP Express#05	483

//---------------------------------------------------------------------------------------------------------------------------------------------------

amatsu,110,140,4	script	Kafra Express::06	76,{ callfunc "KafraXX","amatsu",114,135; close2;	cutin "",255;	end; }
amatsu,112,140,4	shop	Shop Express#06	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
amatsu,114,140,4	duplicate(wapp)	Warp Express#06	478
amatsu,116,140,4	duplicate(exheal)	Heal Express#06	834
amatsu,118,140,4	duplicate(warpevent)	GvG & PvP Express#06	483

amatsu,191,130,4	script	Kafra Express::06	76,{ callfunc "KafraXX","amatsu",195,127; close2;	cutin "",255;	end; }
amatsu,193,130,4	shop	Shop Express#06	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
amatsu,195,130,4	duplicate(wapp)	Warp Express#06	478
amatsu,197,130,4	duplicate(exheal)	Heal Express#06	834
amatsu,199,130,4	duplicate(warpevent)	GvG & PvP Express#06	483

//---------------------------------------------------------------------------------------------------------------------------------------------------

ayothaya,64,147,4	script	Kafra Express::07	76,{ callfunc "KafraXX","ayothaya",70,142; close2;	cutin "",255;	end; }
ayothaya,67,147,4	shop	Shop Express#07	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
ayothaya,70,147,4	duplicate(wapp)	Warp Express#07	478
ayothaya,73,147,4	duplicate(exheal)	Heal Express#07	834
ayothaya,76,147,4	duplicate(warpevent)	GvG & PvP Express#07	483

//---------------------------------------------------------------------------------------------------------------------------------------------------

comodo,220,211,4	script	Kafra Express::08	76,{ callfunc "KafraXX","comodo",224,206; close2;	cutin "",255;	end; }
comodo,222,211,4	shop	Shop Express#08	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
comodo,224,211,4	duplicate(wapp)	Warp Express#08	478
comodo,226,211,4	duplicate(exheal)	Heal Express#08	834
comodo,228,211,4	duplicate(warpevent)	GvG & PvP Express#08	483

//---------------------------------------------------------------------------------------------------------------------------------------------------

einbech,197,84,4	script	Kafra Express::09	76,{ callfunc "KafraXX","einbech",190,79; close2;	cutin "",255;	end; }
einbech,198,82,4	shop	Shop Express#09	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
einbech,199,80,4	duplicate(wapp)	Warp Express#09	478
einbech,200,78,4	duplicate(exheal)	Heal Express#09	834
einbech,201,76,4	duplicate(warpevent)	GvG & PvP Express#09	483

//---------------------------------------------------------------------------------------------------------------------------------------------------

einbroch,59,199,4	script	Kafra Express::10	76,{ callfunc "KafraXX","einbroch",63,194; close2;	cutin "",255;	end; }
einbroch,61,199,4	shop	Shop Express#10	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
einbroch,63,199,4	duplicate(wapp)	Warp Express#10	478
einbroch,65,199,4	duplicate(exheal)	Heal Express#10	834
einbroch,67,199,4	duplicate(warpevent)	GvG & PvP Express#10	483

einbroch,37,213,4	script	Kafra Express::10	76,{ callfunc "KafraXX","einbroch",42,207; close2;	cutin "",255;	end; }
einbroch,39,213,4	shop	Shop Express#10	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
einbroch,41,213,4	duplicate(wapp)	Warp Express#10	478
einbroch,43,213,4	duplicate(exheal)	Heal Express#10	834
einbroch,45,213,4	duplicate(warpevent)	GvG & PvP Express#10	483

//---------------------------------------------------------------------------------------------------------------------------------------------------

geffen,114,101,4	script	Kafra Express::11	76,{ callfunc "KafraXX","geffen",120,95; close2;	cutin "",255;	end; }
geffen,117,101,4	shop	Shop Express#11	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
geffen,120,101,4	duplicate(wapp)	Warp Express#11	478
geffen,123,101,4	duplicate(exheal)	Heal Express#11	834
geffen,126,101,4	duplicate(warpevent)	GvG & PvP Express#11	483

//---------------------------------------------------------------------------------------------------------------------------------------------------

gonryun,158,114,4	script	Kafra Express::12	76,{ callfunc "KafraXX","gonryun",162,109; close2;	cutin "",255;	end; }
gonryun,160,114,4	shop	Shop Express#12	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
gonryun,162,114,4	duplicate(wapp)	Warp Express#12	478
gonryun,164,114,4	duplicate(exheal)	Heal Express#12	834
gonryun,166,114,4	duplicate(warpevent)	GvG & PvP Express#12	483


gonryun,96,249,4	script	Kafra Express::12	76,{ callfunc "KafraXX","gonryun",100,246; close2;	cutin "",255;	end; }
gonryun,98,249,4	shop	Shop Express#12	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
gonryun,100,249,4	duplicate(wapp)	Warp Express#12	478
gonryun,102,249,4	duplicate(exheal)	Heal Express#12	834
gonryun,104,249,4	duplicate(warpevent)	GvG & PvP Express#12	483

//---------------------------------------------------------------------------------------------------------------------------------------------------

hugel,134,88,5	script	Kafra Express::13	76,{ callfunc "KafraXX","hugel",135,80; close2;	cutin "",255;	end; }
hugel,132,86,6	shop	Shop Express#13	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
hugel,130,84,6	duplicate(wapp)	Warp Express#13	478
hugel,128,82,6	duplicate(exheal)	Heal Express#13	834
hugel,126,80,6	duplicate(warpevent)	GvG & PvP Express#13	483

//---------------------------------------------------------------------------------------------------------------------------------------------------

izlude,104,230,5	script	Kafra Express::14	76,{ callfunc "KafraXX","Izlude",108,226; close2;	cutin "",255;	end; }
izlude,104,228,6	shop	Shop Express#14	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
izlude,104,226,6	duplicate(wapp)	Warp Express#14	478
izlude,104,224,6	duplicate(exheal)	Heal Express#14	834
izlude,104,222,6	duplicate(warpevent)	GvG & PvP Express#14	483

izlude,122,217,5	script	Kafra Express::14	76,{ callfunc "KafraXX","Izlude",218,213; close2;	cutin "",255;	end; }
izlude,124,217,5	shop	Shop Express#14	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
izlude,126,217,4	duplicate(wapp)	Warp Express#14	478
izlude,128,217,4	duplicate(exheal)	Heal Express#14	834
izlude,130,217,4	duplicate(warpevent)	GvG & PvP Express#14	483

//---------------------------------------------------------------------------------------------------------------------------------------------------

jawaii,199,293,4,136,120,5	script	Kafra Express::15	76,{ callfunc "KafraXX","jawaii",203,286; close2;	cutin "",255;	end; }
jawaii,201,293,4	shop	Shop Express#15	967,607:50000,678:15000,7135:5000,7136:5000,7139:10000,611:-1,610:3500,601:-1,602:-1,501:-1,502:-1,503:-1,504:-1,505:-1,506:-1,525:-1,1065:-1,717:-1,716:-1,715:-1,512:-1,513:-1,514:-1,515:-1,516:-1,518:-1,526:-1,535:-1,536:-1,519:-1,517:-1,531:-1,532:-1,533:-1,534:-1,645:800,656:1500,657:3000,1750:-1,1751:-1,1752:-1,1753:-1,1754:-1,1755:-1,1756:-1,1757:-1,1758:-1,1759:-1,1760:-1,1761:-1,1762:-1,1763:-1,1764:-1,1765:-1,1766:-1,1767:-1,1768:-1,1769:-1,1025:-1,1771:-1
jawaii,203,293,4	duplicate(wapp)	Warp Express#15	478
jawaii,205,293,4	duplicate(exheal)	Heal Express#15	834
